标题,昵称,地区,评论内容,情感得分,来源文件
当物理老师在课上突然掏出VisionPro,wchen1231,未知,os26可以多设备同时用了 人手一台上课就无敌了,0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,基米症状,未知,既然ipad可以配笔，那我觉得vp也可以配个笔，比如按住某个键才能画出线，很好的防止手势误触，还可以加流线调节防止手抖。,0.02,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,阳光大女孩波奇,未知,好羡慕你的学生,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Ealen-Lu,未知,还有一个好处是这种方式学生会比较有兴趣，注意力马上就集中了。以前上地理课讲城市规划的时候就在想（当时疫情上网课），如果老师开个GTA5来上课教书那不是很有看头,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,定长道人,未知,这类设备如果学校要采购可能会优先采购国产的其次就是价格，因为集中采购一般不会拣贵的买，所以很多学校大概率会买PICO的设备，其次才是国外的，比如Quest，但是Quest众所众知它的网络在国内一直是个问题，所以如果没什么意外的话肯定还是优先国产。,0.2,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Med_7,未知,评论区有一种曾经伞被撕碎所以现在也要撕碎别人伞的感觉…明明二十来岁最应该是革新变化的一代，怎么在教育方面如此保守,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,睿姆,未知,这就是三维立体混元劲啊,0.91,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,庄子HD,未知,我也想要这样的老师[星星眼],0.9,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Murphelle,未知,高中时看您的物理教学，这么多年过去都忘了您还是个物理老师来[笑哭],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,睿智白勺猫,未知,其实用三维建模软件就可以了,0.78,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,东君junn,未知,@Albertzbs 这个帅,0.93,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,家硕_JiashuoMedia,未知,看得出来大宽老师确实是懂物理的，大家看完以后知道洛丽塔力是什么了嘛？,0.94,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,超级三防战士,未知,这个真不如你直接用3d画图软件儿了。,0.77,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,账号已注销,未知,上新闻代代裤了[笑哭][doge],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,springxu3817,未知,quest也可以吧,0.5,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Spongeboyboy,未知,这道题一讲就有印象了，根据当时的记忆，我记的这个题最难的点就是理解这个电子转几圈，很多同学当时是真的不好想象出来为什么电子正好转一圈的倍数，不要看这个视频一下就说清楚了，当时我们老师说明白真是费了一番功夫，我把记忆里之前老师的板书大概画出来了（画的不好兄弟们不要建议）说实话这个和视频里的对比其实差距是真的很大，特别是，你不要想着自己一下就想明白了，老师讲题他的目的是让所有学生都明白，有些学生想象力差，他无法想象出来，他光看这二维的图片是很难有理解的，毕竟二维和三维他差的可是一个层面，即使就是简单的从侧视图看到正视图，那也是能看到一个变换的过程，他不仅仅是2张图片的变化，他是一个过程，由于这个过程，才可以让学生们有空间想象的能力，所以，这个老师的操作，并不是花里胡哨，而是用科技的力量，去给学生们建立一个想象的框架，让学生对空间有本质的理解，这才是用科技教学的意义,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,__rrrrroy,未知,不知道评论区有些人在酸什么，一节物理习题课，老师正好有可以体现立体视角的工具，帮助学生可以更好的理解题目，也可以让学生感受到新型科技，有些人用不到就在哪里说别人做秀[笑哭],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,莫名简单又复杂,未知,懂了，学校费用可以用于采购这个visionpro[doge_金箍],0.5,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,橙飞一下,未知,给不听话的学生周围画上一个立体牢笼。[doge],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,狗南普,未知,看吧，买vp的人会自己想方设法用上，不然就吃灰[doge_金箍]但这么贵买的，不行不行,0.02,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,文河子,未知,我以为只能老师看到是三维的，这是怎么让学生也能看到三维图的啊？,0.88,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,一只不像老师的小怀怀,未知,66666～,0.5,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,惬意的琦君,未知,"我勒个去，感觉真的经历了一个时代。从普通教育发展到智慧教育智慧教育。
我记得我上学的那段时间是黑板，粉笔屑。后面又发展到了白板，红黑蓝墨水。之后又出现了屏幕 ppt投屏教育。再后就出现了电脑黑板和智能投屏（视频和动态化演讲）。再到如今或者未来，3D，AR真实演绎。天呐。",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,深水の河豚,未知,我觉得这东西的最大价值是让学生不困[doge],0.64,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,jabalee,未知,哎呦，评论区一群什么玩意啊：你不如用专业软件做3D动画，你这个只能让孩子不困，你这个那么贵，你这个变味儿了。。。你们这些人快收拾收拾入土吧！我多想上学的时候，能有这么一个老师，不照本宣科，为了让你学懂，用上各种办法各种科技！老师您加油，别让那些酸葡萄打消你的积极性！,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,遁其一二,未知,哪个次元的中国高中是单人桌？摆拍差不多得了,0.29,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,星魂23177,未知,等以后好起来了，每个学生都能有一个vr头显。,0.9,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,学理科的方宇,未知,"建议立体几何引入这东西
我有时候做立体几何题时最大的愿望是能在课桌上启动blender……",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,bbq007,未知,"可能很酷炫,但老实话,这种对于实际解决问题能力的提升,是效率比较低,不如老一套的传统教育,但好处是容易引起兴趣,也许就是所谓素质教育了.",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Jackey-Liang,未知,不是，我前两天刚做过这道题啊！这就刷到了？！话说当时我就是没想明白，老师在讲台上手舞足蹈，全班懵了一半[doge]打算把视频转发给我们老师，让她学习一下（bushi）[doge][doge],0.95,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,小王想练出公狗腰,未知,那么问题来了，Apple Vision Pro能不能直接AirPlay到Apple TV或其他设备吗？,0.04,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,楚来啦,未知,非常棒的教学方式[喜欢]但是visionpro太贵，学校一体机也卡[笑哭]复刻不了[tv_难过],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,纯冲浪啥都看,未知,反正我觉得这是最直观的方法，我要这个,0.9,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,姥爷叫我大冬瓜,未知,这是我看到过ar头显最有用的使用场景了,0.95,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,agua_play,未知,建议教育局予以重视当前教具的落后性，历史、地理、化学、物理、生物这些学科，都是离不开3d技术,0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,燕弛日_焓,未知,这个班级也不简单，讲台再边角，是云课吗？肯定是重点班,0.98,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,账号已注销,未知,来自农村，县城的人都不知道什么是vision pro，学生都不知道更别说老师了,0.92,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,杯柠茶の冰,未知,今天见到本人了,0.47,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,林捂捂,未知,美术老师：压力上来了！,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,大好き水野あかね,未知,老师你上电视了,0.82,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,上汽大众,未知,老师，下次讲解加速度的时候，考不考虑拿我当教具[doge],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,赤石ヒーロー,未知,"有种离家出走的孩子突然回家了一样。
太棒了，我逐渐理解一切！",0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,宅宅小霸王,未知,我当年咋没有这么帅的物理老师[大哭],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,漪澜宝宝,未知,"老婆你听我说，我买ps5是为了给学生讲历史课
老婆你听我说，我买vision pro真的是给学生讲物理[doge_金箍]",0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,CO01Boy,未知,从有老师来拍照就能看出很明显是一节作秀的公开课，实际意义不明显，但是做文章用处很大，对于教师的评级以及某些校长或者老师的职位变动有关系,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,我来自江湖V,未知,"学校教学质量的质变提升，依然是老师和学生本身的合力作用，教学辅助工具只是作为一种趣味扩展罢了，这玩意儿目前的算力软件硬件水平离达到教学仍有较大距离，特意花学校预算买这东西，就有点为了一碟醋包了一盘饺子的意味啦！
并不是说批评用这个，而是要保持理性的看待，就是一种教学辅助工具的趣味扩展，在趣味性上确实拉满了，并且有一定辅助价值，但不建议现阶段大规模推广",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,raytao423,未知,Apple 营销部门喜闻乐见的用户案例分享[滑稽],0.33,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,普通网友陶顺喆,未知,话说近视眼戴这个能看清吗[doge_金箍],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,大菠萝9966,未知,看了评论区 笑了 我支持这位老师 这就是创新 说不如放个三D视频的 你知道有个教学叫演示法吗 你知道现在网上什么视频都有学生就不爱看吗？ 教师现场演示给学生的冲击力不可同日而语 如果都放视频 那所有实验都放视频 学生在家看视频就好了 而这恰恰就是基础教育不可能被AI替代的原因！ 当然要是学生能操作就更好了 这节课他一辈子记得,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Oldmedic,未知,请教一下，这个苹果的AR头显的现实，是直接用肉眼看到的真的现实还是外置摄像头拍摄的画面在头显的屏幕上播放的？,0.98,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Minecraft_冷眸,未知,老师，你可以用那个软件 好像叫geog什么什么开头的,0.9,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,天天耶TTY,未知,老师能不能一人发一台 这样每个人都能看到画面了 沉浸感更强[doge_金箍],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,大狸子切切里,未知,妈妈，为了学好物理我要买vp！,0.81,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,陈老师敲黑板,未知,这也太酷了吧[星星眼],0.59,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,838314728,未知,说真的视频里的那个题目我真的不理解有的学生说想象不到听不懂之类的，在我看来这不是科技进步，就是单纯的老师想刷花活，就和没用的公开课一样的没用,0.85,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,馋嘴y,未知,素材上看见你啦！,0.87,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,心夏小老婆,未知,不错的，有趣有用，对于我这种视觉空间学习者或者说是必须知道一个知识背后的底层原理才能学的会的这类人来说非常有用，或者说空间想象能力不够的人来说也很有用，我不喜欢死背公式，因为我觉得凭什么要用这个公式，所以我很好奇背后的原理，所以我经常逮着老师死劲问，这也导致了记住了印象会很深刻,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,利利那TD25,未知,用作教具的话可以走报销吗,0.5,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,芊芊老猫的日常,未知,教育真的更要与时俱进！,0.68,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,远峰满天,未知,上库克微博了[偷笑],0.6,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,浪味仙963,未知,确实是有噱头，但是对于空间能力不够强的人来说，会是此类题思考的一个原点，以后再做题的时候永远都会浮现老师今天一步步画出来，一点点分析的图。我看到的不仅是噱头，更是一个为同学能够更好理解而不断研究新技术的好老师。除了知识本身，也把新技术带给生活的改变，与时俱进的思想教给了学生们,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Bi胜Kr,未知,30年前没有希沃，都用黑板，然后有希沃了说白板伤眼，10年前没有头显，现在有头显了，又说什么华而不实、没啥用，等到10年后头显普及了，再造出什么新物件来又要说新物价的缺点了是吧,0.98,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Everest007,未知,老师可以提前画好，演示的时候直接把工程文件调出来展示就行了,0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,红酥HONGSU,未知,学生：学会了，就差vp了,0.57,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,我的宇宙_Yoga,未知,太绝啦！,0.43,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,五阿居,未知,可是我觉得这种题很简单啊，难道是我们们老师每天都在强调的原因吗（本人已高考完,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,乘风观云,未知,"要是以后像这种VR眼镜简化并和手机一样普遍，老师直接从模型库里面拿模型布置题目场景，抛出问题让学生解答
比如两个高山，求另一座山高度，这样告诉学生向老师标记的指向山峰山底的3D虚线看，然后求解山的高度岂不是学生学的容易多了。此外还有很多科目，题目也能这样建立模型",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Lamoliwf,未知,不懂为什么批判这个教学方式，是不是你潜意识觉得vr就是用来玩游戏的？孩子精神头可能还好点，我现在一开会给我放ppt我就犯困，老师是不是人？本身备课就够累了还要人家去做3d模型？那玩意不说学习成本，你们教室里的电脑跑起来不卡吗？你说截图给学生看，那不还是和ppt一样？那我觉得3d模型还不如板书呢。,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,麒瓜cp,未知,应该给班里所有同学都配一个vr,0.9,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,凉拌鱼籽罐头,未知,其实，PDF也有3D模式，打开就是三维的，我也是工作了才知道还能这样玩[喜极而泣],0.52,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,ナナチだ,未知,画风突变的地方,0.34,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,一路蕗,未知,科技的现实意义,0.9,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,后三天马克马克,未知,国产设备不知道能不能实现,0.19,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Winnie龟龟仔,未知,牛啊大宽老师[doge]其他老师怎么办,0.92,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,残星晨月,未知,"20年安徽省理科考生，理综275
我并不认为高中物理问题需要多强的空间想象能力，相比之下理解运动的独立性可能更重要。

以视频中的题目为例：
第二个电子发射后，运动分为纸面平面内的匀速直线运动和垂直于匀速直线运动方向的平面内的匀速圆周运动。由于最终电子回到纸面平面内，圆周运动会导致电子离开纸面平面，因此圆周运动必须是完整周期，由此可以获得时间；根据时间结合匀速直线运动即可完成解题。

至于这个粒子的运动轨迹到底是什么样的对于解题来说似乎并不是必需",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,是我撒,未知,太棒了，我觉得这个东西很有必要学生人手一个，华强北现在不是1500一个吗，那我们就用庞大的教育资源，批量采购，去打到1000一个，甚至500一个，让社会享受到科技的福利，让这些穷学生也能读到书，读好书！,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Aleatory_Element,未知,为了碗醋包了顿饺子的感觉,0.66,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,账号已注销,未知,这还是3d的？,0.55,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,上课睡觉真君,未知,"评论区对于教育方面思想怎么这么多极端保守派啊，教育改革其中就包含了教具升级啊，00后应该就有一批孩子小学时候就体验过教室电脑投影白板的吧，当时对于那种东西也有人讲华而不实，不如直接黑板粉笔，可现在呢？各科课件就依赖于此，你们怎么敢假定再往后十几二十年不会AR技术应用到教育领域？

我反而觉得如果孩子们都能戴着头显上课，再依托于此定制些课件，身临其境感受历史事件，学习物理化学知识，随时虚拟实验，这不都是能大大吸引学生注意力的点吗？

每个孩子理解能力都是不一样的，但三维画面的身临其境绝对可以留下深刻印象，这是平面2D板书/课件无法比拟的，而这就已经足够了，理解知识点的前提是记住，记住的前提是孩子愿意去记。

拿这个题举例，AR相对于直接把题给你拆分成实体模型，省去了你在脑内将老师的话转化成模型的这一步，直接跳进理解阶段。

更直接点说，在授课效率上，这是从心算到打草稿的巨大跃升，你作为老师，可以直接把自己想的画出来给孩子看，不用担心他们想岔了没更上老师节奏导致对这个知识点理解上出现漏洞。",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,世间万块钱,未知,这套设备多少钱？,0.31,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,两千克沈梦溪,未知,突然想到了另一个视频里看到的一条评论,0.43,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,冰生白露,未知,评论里是不是很多人没体验过苹果ar啊🤔,0.55,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Va穿心,未知,其实可以先在备课的时候建一个3d模型 然后在课堂上直接放到空间中 既能灵活调整大小也能节约时间 关键是画得更标准[doge_金箍],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,有颜值的咸鱼君,未知,[星星眼]羡慕死了,0.96,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,罷颰,未知,有没有这样一种可能，我们现在的量子力学的大部分知识都是错的，若干年之后，我们会有新的一套知识体系,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,司马他2015,未知,quest 能不能画,0.11,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,黑化回花灰,未知,评论区太多批判了....  这么说吧，我管你这的那的教具多牛逼，图画得多好，讲得多清晰，我作为一个理科不好的学生，究其原因我就是觉得这些内容生硬无聊，容易注意力不集中发散。博主这样的讲课方式非常能调动我听课的兴趣，我把它当乐子了，注意力集中了，听懂是自然而然的事，不懂我也会琢磨一下，所以扯那么多不好听的话干嘛,0.67,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Yife_Playte,未知,越看越觉得vr/mr设备还是得要物理控制器，不论是类似quest的手柄形式，还是穿戴式的，不然精度问题还是很大，稍微需要精度比较高的操作就很难操作了,0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,劈柴和喂马,未知,绝了 我得让孩子上这个学校,0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,機関グループ,未知,未来等vp这种空间头显价格降下来想必一定会有更多的老师会在设计空间上选择用头显讲课不过我是没这个机会了,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,90后马牛,未知,现在的学生戴眼镜的太多了吧，我90后我记得我们那时戴眼镜的的都是屈指可数，就是屏幕太小了后排怎么办，,0.01,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,倚南楼主小号,未知,不是，这也太难了啊，现在的高中生物理，这么难的吗[笑哭][笑哭]这也与生活太脱节了啊，我以为这么难的知识只有在大学专业系里才会学习，高中生就学这么难的知识，也太惨了吧。,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,李伯特Liberty,未知,vp发布的时候就知道有这么个东西，这还是第一次看屏幕里的东西，要不是价格感人，真想整一个,0.9,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,GLAT巩振宁,未知,我印象最深的视频就是大宽老师拿塞尔达讲小船过河问题,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,仁xiao,未知,高中就对物理不感兴趣，书上的图和老师讲的都很枯燥，如果当时有这种产品应该会很有意思。感觉评论区一些人是接受不了新时代的产物，说什么这种东西哗众取宠，哪怕这节课就是用来赚取流量，但台下的学生都学到了知识，这不就是教书吗。当初疫情的时候，我用原神给朋友讲地理知识，就觉得很有意思啊，玩也玩到了，学也学到了。还有些人说这产品只能在内地发达的城市使用，你要知道当年我在上学的时候是只有破旧不堪的黑板，摇晃的凳子，现在都已经用上希沃白板了，我妈是乡村支教的，现在的希沃白板都装到了教室，老师们不会用，但都要学习熟练运用和制作ppt。谁也不知道以后会发展成什么样子，就像当场我也想象不到黑板能变成屏幕。时代在进步，思想也要进步。,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,春的一百三十一篇,未知,老师老师 前几天我们语文老师上课时给我们看了您的视频[星星眼]想出这个方法真的特别厉害 很喜欢您这样的老师[星星眼],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,左将军今天休息了,未知,效果相当惊艳，唯一遗憾就是价格虚高，如果学校花几百万配备vp那纯纯给苹果送钱，还是期待国产VR设备崛起,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,灼眼の悠二,未知,这玩意绝对比板书强，就是太吃熟练度了，如果换成实体按钮来作为控制按钮，应该就比较完美了,0.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,小辰出击,未知,要是我当年在大宽老师班上，也不至于考不上浙大[妙啊],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,幽灵自行车,未知,quest上有平替软件吗,0.33,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,时光机找到七龙珠,未知,如果教学标配VisionPro没有虚报价格的话，其实比现在买的各种洋垃圾设备要便宜得多[藏狐]毕竟一个200多的路由器都要花75万去采购，我们县的中学校长前两年贪了一个多亿被抓了，可以想想学校里的油水到底有多高,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,sinxcosxdx,未知,其他品牌的VR有这个功能吗？想尝试但VisionPro太贵了[笑哭],0.98,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,百里酚酚酚酚,未知,高中的时候看up主的物理课 记得当时看过用塞尔达传说讲过河问题 现在本科快毕业了 回来看到大宽老师还在探索物理课堂的创新 感觉好欣慰又好怀念（￣▽￣）,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,大象Q_Q,未知,学生看不到呀，黑板上没板书，学生只能看到老师在空气里凌乱的手。这种课有效吗？,0.92,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Caigito,未知,作为一个高三生评价一下，这个讲的真的很直观，如果在黑板上画我早睡着了,0.98,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,不愿起名的y,未知,"还记得我们老师之前为了直观地给我们演示过河问题…
当场掏出了他的switch打开了塞尔达跳进河里给我们演示[笑哭]",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,haoyu皓,未知,这时候blender的作用和性价比就尤为凸显了,0.82,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,小瓜瓜Yuri,未知,对学生形成物理直觉有非常大的帮助,0.85,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,捣蛋冠军,未知,喜欢苹果喜欢到这种程度吗？虽然我也是iPhone和iPad用户，但是没有他疯狂吧？直接用这个上课，下次他该用这个考试了,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,天才剑士冲田,未知,实际上我 1399 的 pico 也可以，不过得拿个手柄,0.17,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,比力币,未知,一人发一个vision pro 每个人都能第一人称看到图[doge],0.41,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,abcabc1024576,未知,"用 Vision Pro 辅助教学在我一个高中生看来有一个显而易见的优势，老师可以像写板书一样“手绘”。电脑上做 3D 模型当然可以，甚至（比目前）呈现的效果可能更好（如果能随时间动且能旋转的话），但应该没这种手在空中画几笔对老师来说方便。用 3D 模型老师要么学过相关技能，要么上网想办法找相关资源，但画这个示意图只要老师自己明白就能现场很快画出来。让曾经需要专业技能且投入很多精力才能达成的效果变得触手可及不也是科技的意义吗？
至于说不利于提高空间想象能力的，我觉得人脑得有足量输入才能有输出。传统的板书相当于间接输入，3D 模型和 AR 相当于直接输入，后者反而更有利于积累足量输入。AR 对已经有 Vision Pro 的 UP 来说时间成本和学习成本更低，效果与 3D 模型相近（而且明显未来上限更高），还能开阔同学们的视野，那何妨一试呢？",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,EMarlin,未知,"别人在用VISION PRO研究洛伦兹力

我在用VISION PRO看P站。。。。",0.75,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,向芸籽,未知,优秀的可视化对数理直觉可是相当重要的[鼓掌]。本站有其他up做的本问题的可视化：BV1mxmaYwEQX,1.0,B站vr课堂评论数据1.csv
