当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,এ杯中烈酒໌ᮨ🚬敬余生🍶དྷ༗࿐🍻,天津,你已被大数据ai支配[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,旧城以西,广东,@rune @小恪 @佧子 [发呆]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,大道轮回,广东,[捂脸][捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,🌈黄茶,山东,小米那个也一样吗？如果一样我打算入手了[看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,DX888,广西,这多少米一个
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,找朋友,内蒙古,导航一下百分之十的电没了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,东方姑娘,山东,就这样停在路中间 ？？？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小际云7399,云南,这个眼镜真的假的可以这样
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,一个人的世界,江西,这个东西真的很好，我们村的傻子用了之后，现在变得很聪明了。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小软糖🦢,广东,@男票小号❤️ [泪奔][泪奔]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,乖乖🐻,浙江,好贵这眼镜
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,溪石先生,广东,乐奇把车停到马路中间上锁！关锁成功！[捂脸][捂脸][捂脸]
