标题,昵称,地区,评论内容,情感得分
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,呵呵摸摸哒,海南,想问下，他这个能是只能小米手机用吗？看着好香，正好最近想换眼镜了,0.74
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,⛲️,北京,60帧我就买了，正好记录路亚,0.69
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,yeu em,云南,近视的人戴不了,0.98
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,悟...,山西,考试可以用么[捂脸],0.26
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,46君不语,菲律宾,眼镜说实话还是要用来看的，如果他可以智能根据使用者的眼睛自动矫正读数，那我觉得那才是最牛逼的智能眼镜 [看],0.09
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,凌伽,广东,作为一个近视两轮爱好者，我看到这东西第一反应就是，这东西最大的用途就是给摩托佬……直接解决了蓝牙耳机+行车记录的问题。而且价格也是，好的蓝牙耳机+行车记录仪，两个加起来价格差不多也接近这个眼镜了。,0.67
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,空想家,北京,我昨天在店里玩他的那个眼镜，十几分钟掉了4%的电，不知道为什么，可能录制比较费电？,0.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,小萝卜Donny,江苏,近视可以戴吗,0.99
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,迷人滴斯斯,上海,真好用,0.66
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,坨,四川,近视眼可以带嘛？,0.92
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,付费用户刘生,广东,刷个抖音 居然晕车的感觉出来！,0.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,饿魔大王66😈,山东,苹果手机能连接不,0.3
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,未央,陕西,我问了我们附近的店说是眼镜片配不了近视镜片呀，是不是需要自己去眼镜店配,0.02
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,自古甲方是爸爸,北京,我之前拼多多三百多买的可以变色的，估计原理一样，放车上当墨镜用 [呲牙],0.95
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,洛阳小范,河南,可变近视度数有没有搞头？,0.73
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,再喝酒🍺是🐶,河南,雷总你好帅,0.99
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,长亭外古道边,浙江,主播，建议所有眼镜厂把镜腿做成可拆卸的，没电就换腿，还能DIY不同功能组件，最关键的是万一坏了，大部分很难修或者跟买新的一样贵，换个腿就很实用了，没电就拔下来换一个腿 [灵机一动],0.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,秋风,江西,主播主播！！！请问您这么忠实AI眼镜！请问2000左右最推荐哪一款啊！？ [流泪],0.01
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,Passion,浙江,哥，这麽多眼镜，考虑抽一个不 [比心],0.18
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,隔壁老丘,广东,最关心的一个问题是能循环录制吗。。。 [捂脸],0.02
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,自责菌,福建,这种眼镜能不能导航，在眼镜里面出现路线的那种？,0.28
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,美好家,湖南,米粉，体验后说真话：1.视频果冻效应明显，室内几乎不可用；2.ai眼镜，一点也不ai，识别错误太多了，小米大模型要加油赶上了；3.卡路里是个好应用，但是识别率错误太大了，基本不准确；4.翻译除了延迟，错误也多，陈抱一的视频也看得出；5.遮挡太敏感，提示太频繁了，严重影响拍摄；6.外观太容易有指纹和划痕了 ……期待下一代改进，最要改善的是ai大模型，小米ai大模型太拉了@雷军   @小米AI眼镜智能直播间  @小米官方旗舰店,1.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,用户8833051802171,河北,能换镜片吗,0.26
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,睡觉觉了,上海,这眼镜十几年前出来的话，高考无敌了。,0.99
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,小哥🖖,内蒙古,可以录音 录像吗？？,0.39
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,A.a,贵州,大学生期末考试能识别把答案播放不？ [呲牙],0.99
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,橙橙橙……,贵州,为什么我看这视频好晕,0.35
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,少喝奶茶,广西,那两个孔能不能隐藏啊，等下带出去挨一大堆举报,0.13
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,用户9853642452984,山东,10分钟就不考虑了，前奏都没结束，显示不出我得伟大,0.02
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,任云,浙江,视频通话的组合摄像头，iPhone能用吗？没找到，小米手机才可以？,0.64
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,🌵🌵🌵,广东,看完了，画质很一般，感觉成本不超过100块。就是一个可以拍照的MP4[捂脸],0.04
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,毛毛,新疆,室内拖弋太严重了，不但卡，甚至有点掉帧了！,0.13
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,苹芯而拎,甘肃,能语音控制吗？用于手术中拍摄。,0.99
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,无名胜有名,江西,赔了镜片就没法变色了吧,0.01
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,即将放飞梦想的有志青年,山东,一会就去配镜片[呲牙],0.18
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,凯皇,江苏,能搜题目吗？,0.69
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,毕运桃,江苏,可以发白光吗[黑脸],0.18
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,只喝可口可乐,河北,退了，随便问,0.04
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,安安🐳,广东,可以看穿对手的底牌吗,0.57
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,人生若只如初见,广东,眼镜录像声音可以录进去吗,0.04
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,桃花笑春风依旧,江苏,同声传译能在镜片显示，且准确率96%以上，我就买一套,0.32
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,🐯小趴 蔡🐯,内蒙古,不连手机 不联网可以用吗,0.07
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,王的温柔,河南,买了买了，1699买的,0.71
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,貓李貓氣,广东,摄像头的圆点还是太明显了,0.31
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,Mark,河北,第一时间想到的是，可以给盲人佩戴，ai实时分析路况，引到盲人生活、出门，识别危险源。希望雷总看到[比心],1.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,ta的ta,广西,但是苹果眼镜真的很炸裂啊！,0.79
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,🌈光辉岁月,浙江,骂人都不能显示差评,0.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,曹老师寻宝记-元懋翔曹荻明,北京,能有度数么,0.84
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,椰子（广州摄影）,广东,录制时间太短了！我一次一小时[看]不够用,0.23
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,89ossip,广东,遇到危险能帮忙报警吗？直接发定位给警察[嘿哈],0.01
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,空鸣,河北,华为什么时候出眼镜啊，功能应该更好,0.85
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,大西瓜不吃香菜,云南,信我，待不惯眼镜的别买，是真的重[泪奔]再轻还是压耳朵[流泪]完全适应不了,0.47
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,阿吻的故事,广西,已买，已上手，真的太爽，第一视觉拍摄神器,0.94
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,Eli_Xu,广东,变色款 随便问[机智],0.49
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,华强北至尊ultr,广东,已买，已配镜片[比心],0.36
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,冷小月,河北,我用的标准版小米ai眼镜，用着还可以，一天大概2冲左右。,0.42
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,倒草人,广东,这个眼镜可以看视频吗？,0.84
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,三锅锅,江西,60帧拍的视频看起来才头不晕,0.33
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,简单^0^快乐,江苏,跑起来拍的时候让我想到了某个游戏[看],0.78
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,鸣鸣,浙江,这个眼镜可以抖音直播用吗？,0.02
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,呀嘞呀嘞,安徽,智能眼镜最大痛点[捂脸]需要带眼镜的人买这个麻烦,0.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,疯狂动物家,山东,镜腿压的耳朵难受，确实粗,0.06
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,👏你关的灯最黑了,黑龙江,"AI眼镜要想火
①无线充电技术或眼镜盒充电
②裸眼AR技术普及
③自适应眼镜度数或改善视力
④手势操作及反馈的规范与普及
⑤眼部追踪和头部追踪的操作逻辑
⑥各设备终端的协议互联，ps5，微软，影院，手机，无人机，至少适配苹果
⑦航空可戴
⑧导航，扫描，标记与作画
⑨变焦
⑩同款眼镜视角以及信息共享",0.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,睡不着.,江苏,好喜欢小米墨镜，大学生生活费只剩5块了，要是有90块钱的券就好了[流泪][流泪],0.97
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,张欻欻灬,山东,还不错，挺好玩的。长时间佩戴没有不舒服的感受,0.99
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,田畦（180斤）,山东,做成这样有没有要买的[呲牙][呲牙],0.51
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,五岁才会爬,河南,谁说下价格，让我死心[杀马特],0.25
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,浙贝子,浙江,用马克笔🖊️涂一下,0.89
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,彭陆画,四川,你们的眼镜会不会出现连接不稳定的情况，一直叮咚叮咚的响，显示正在重新连接,0.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,小小怪,山东,"单次视频录制目前最高10分钟
可以实时翻译语言
可以拍照 
续航大约能用6个小时左右
随时召唤小a同学
听音乐接电话天气地理位置 识物讲解 都可以
大概后面还会更新很多功能 因为是初代所以功能不多。app更新功能眼镜也会解锁很多功能 其实发展空间很大的[呆无辜][呆无辜]",1.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,樂爺,内蒙古,考试能带进去吗 有安检的,0.83
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,景小贺❤️,吉林,我心中的AI眼镜、小爱同学，左眼帮我调230，右眼帮我调350，散光50，谢谢[抱拳][抱拳][抱拳][抱拳],0.26
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,皆午言,广东,真可以，等我几个月[捂脸],0.03
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,𝑺𝒆𝒓𝒆𝒏𝒅𝒊𝒑,内蒙古,尿尿不能跟你站一起了,0.01
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,叫我_小胖,广东,不好用，还有升级的空间,0.68
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,CR7(有石宇奇亲签版),四川,想问一下，是一定要小米的手机吗？[比心],0.65
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,卡歹歹,辽宁,摄像头这么明显[捂脸]戴上去会觉得尴尬,0.21
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,大江oO,江苏,我心目中的智能眼镜：眼镜带上  自动识别 左眼自动调到180度，右眼260度，散光各60度。然后小爱同学开始抖音直播！,0.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,1s丶Shaun,福建,买了2999的，结果不能配近视镜片，然后换了1999的[捂脸][捂脸][捂脸],0.01
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,月月家和田玉,上海,因为我家全屋智能是小米的，所以买了，可以实时语音控制比较方便,0.98
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,智翔恒远翻译认证,湖南,我刚买的出现这个情况正常吗？,0.37
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,养楊的杨杨,广东,男生不建议购买，以防被说偷拍[看],0.09
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,Ming明     🐳,新疆,已入手,0.87
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,可乐加冰D,浙江,,
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,戏夭河卫,湖北,难道要下岗了吗[投降],0.21
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,张曦月🥰,黑龙江,你唱老薛的歌吗？我很好奇[杀马特],1.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,啧啧啧,广东,其实我感觉这类AI眼镜，更大的市场前景应该在于盲人的对环境的实时播报，辅助盲人识别周围的环境，可以相对自由的活动。,0.99
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,皆大欢喜,福建,这个可以支持雷鸟那种快充吗？,0.92
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,🌈归来仍是少年*-*,重庆,10分钟我不够用啊[九转大肠]我起码要40分钟,0.08
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,凌一,广东,考试戴这个会怎么样,0.99
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,张总,四川,为什么不能在眼镜上显示内容,0.09
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,铃儿优选,辽宁,我心中的AI眼镜、小爱同学，左眼帮我调230，右眼帮我调350，散光50，谢谢[抱拳][抱拳][抱拳][抱拳],0.26
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,李大發,四川,沉吗？我当年买的华为和gm的联名太沉了,0.05
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,😆,吉林,近视眼怎么搞啊[捂脸],0.11
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,JokerYang,北京,不能透明啊[流泪],0.55
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,吴迪🎣,上海,可以预录吗,0.5
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,起,上海,他是不是可以当盲人眼镜[泣不成声],0.32
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,咸神,广东,其实我最想要的不是摄像，反而是像Even G1的那种看上去像普通眼镜，能看导航看翻译看信息看微信的，续航有10小时的眼镜,0.46
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,海绵宝宝1,四川,下一期投稿，测评一下雷鸟吧～,0.84
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,𝙉𝙄𝙀𝙆,江西,看到华为在卖这个就想笑[尬笑][尬笑],0.81
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,安可。,重庆,这个文件是不是只有导入了才看得到，直接预览是看不到的？我试了好久。,0.12
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,你肯定认识他,河北,拍出来的照片是这样的！链接苹果手机只能当个眼睛耳机，不能视频通话直播,0.09
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,酷酷真减肥,辽宁,关于近视的问题,0.89
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,飏——,浙江,我问一下，这个眼镜是一定要跟小米手机适配吗？还是说用别的手机这个也能用？[尬笑],0.48
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,你好好好好,山东,@哇哒呱嚓 想要这个小米的AI眼睛，求你了,0.92
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,黎,云南,如果可以变成近视镜，调整近视度数就牛了，很可能近视镜都被替代,1.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,独木舟,江苏,所以和ai有什么关系吗,0.56
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,两年半个人练习生,广东,我需要小米4k眼镜，可以当电脑屏幕的那种[泣不成声],0.93
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,太阳神🌞,北京,日语翻译的不对啊[抠鼻],0.26
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,把耳朵捡起来，捡起来！,广西,那么问题来了，能不能充电宝直接供电那岂不是可以超长录制了,0.03
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,拾步心率167,山东,如果电池爆炸了，会不会爆头？？？？,0.09
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,涉嫌钓鱼,四川,翻译日语准确吗[害羞],0.64
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,无所吊谓,四川,就这个翻译 出门旅游太爽了,0.63
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,小可可💓,上海,多少钱[尬笑],0.45
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,兜了个兜,山东,要能自动识别近视度数并进行修正保护，卖爆了得,0.49
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,碰见你🏸,广东,雷总牛逼,0.97
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,王冯,安徽,戴着这个考试怎么样,0.99
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,sara,湖北,要不给孩子买一副,0.44
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,勇往直前加油,河南,不变色 1999 变色 2999,0.98
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,快啊你,河南,如果可以将手机屏幕画面映射在眼镜里就很厉害了，就像托尼斯塔克的智能眼镜一样[害羞]希望有朝一日可以达到这种效果[害羞][害羞],0.48
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,巍哥,四川,有没有考试用的上的,0.81
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,跑不动,福建,多少钱让我死 心,0.34
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,看更大战港原味,广东,能不能调度数,0.38
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,꒰ঌ 青柠之夏໒꒱,江苏,考试的时候会被查出来吗[捂脸],0.12
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,不会花式的调酒师樂樂,吉林,想看测评rokid,0.86
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,偷得浮生半日闲,上海,能不能加入特效  方便看鬼片的时候  不那么害怕,0.47
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,账号已经注销,广东,请问说话声音多大可以召唤小爱啊 考试的时候能不能用啊,0.56
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,桑少爷,山西,可以和苹果手机互通吗还是要单独再买一个小米手机,0.92
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,H.,内蒙古,答案就放在那里了，谁做出来谁就能赚飞了，带上眼镜能浮现字体，而且还能调节近视度数[哈欠][哈欠][哈欠],0.72
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,齊天大聖🏸,江苏,近视眼怎么办[抠鼻],0.43
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,..尘客...cn,广东,可以看5d吗,0.56
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,一念之间🙏,安徽,这是哪款,0.5
